Index;Study_ID;AuthorsAndYear;Journal;Class;Year;TaxaNumber;SSD_Proxy;SexSel_Proxy;SexSel_Episode;SexSel_Category;PhyloControlled;BodySizeControlled;N;r;Var_r;SE_r;lCI;uCI;z;SE_z;SSD_SexBias;SSD_SexBias_in_perc_F
3;1;Lislevand et al. 2009;J Evol Biol;Aves;2009;93;Body size;Mating system;pre-copulatory;Mating system;Yes;No;93;0.083;0.01072032;0.103538979;-0.119936399;0.285936399;0.083191387;0.105409255;Male;7.5268817
4;1;Lislevand et al. 2009;J Evol Biol;Aves;2009;93;Body size;Male display;pre-copulatory;Trait-based;Yes;No;93;-0.0703;0.010762394;0.103741959;-0.273634239;0.13303424;-0.070416154;0.105409255;Male;7.5268817
5;2;Littleford-Colquhoun et al. 2018;Funct Ecol;Reptilia;2018;43;Body size;Density;both;Density;Yes;Yes;40;0.3374;0.020135429;0.141899363;0.059277248;0.615522751;0.35115561;0.164398987;Male;30.2325581
6;3;Loison et al. 1999;Evol Ecol Res;Mammalia;1999;54;Body mass;Mating system;pre-copulatory;Mating system;No;Yes;43;0.4446;0.015327018;0.123802336;0.201947421;0.687252579;0.477949585;0.158113883;Male;15.6862745
7;4;Mitani et al. 1996;Am Nat;Mammalia;1996;18;Body mass;OSR;both;OSR;Yes;Yes;16;0.7098;0.016413235;0.128114148;0.458696271;0.96090373;0.886780672;0.277350098;Male;0
8;5;Ord et al. 2001;Proc B;Reptilia;2001;63;Body size;Male display;pre-copulatory;Trait-based;Yes;No;63;0.27;0.013863136;0.117741818;0.039226037;0.500773963;0.276863823;0.129099445;Male;14.0350877
9;6;Owens and Hartley 1998;Proc B;Aves;1998;26;Body mass;Mating system;both;Mating system;Yes;No;26;0.5490228;0.019520223;0.139714793;0.275181806;0.822863794;0.616981388;0.208514414;NA;NA
10;6;Owens and Hartley 1998;Proc B;Aves;1998;71;Body mass;Extra-pair paternity;post-copulatory;Postmating competition;Yes;No;26;-0.1409012;0.038427514;0.19602937;-0.525118766;0.243316365;-0.141844911;0.208514414;NA;NA
11;7;Perez-Barberia et al. 2002;Evolution;Mammalia;2002;117;Body mass;Mating system;pre-copulatory;Mating system;Yes;No;117;0.4996;0.00485431;0.069672876;0.363041163;0.636158837;0.548772953;0.093658581;Male;24.4680851
12;8;Pincheira-Donoso et al. 2020;Global Ecol Biogeogr ;Amphibia;2020;621;Body size;Male aggression;pre-copulatory;Premating competition;Yes;No;621;0.0156;0.001612118;0.040151193;-0.063096338;0.094296338;0.015601266;0.040225899;Female;92.40638
13;8;Pincheira-Donoso et al. 2020;Global Ecol Biogeogr ;Amphibia;2020;74;Body size;Male aggression;pre-copulatory;Premating competition;Yes;No;74;-0.015;0.013692466;0.117014813;-0.244349033;0.214349033;-0.015001125;0.118678166;Female;92.40638
14;9;Plavcan and van Schaik 1997;Am J Phys Anthropol ;Mammalia;1997;85;Body mass;Male aggression;pre-copulatory;Premating competition;Yes;No;85;0.7469471;0.002326499;0.048233795;0.652408863;0.841485338;0.966013236;0.110431526;Male;14.516129
15;10;Poulin 1997;Biol J Linn Soc;Nematoda;1997;41;Body size;OSR;both;OSR;Yes;Yes;29;0.367;0.02674154;0.163528408;0.04648432;0.68751568;0.384951707;0.196116135;Female;97.3684211
