Index;Study_ID;AuthorsAndYear;Journal;Class;Year;TaxaNumber;SSD_Proxy;SSD_SexBias_in_perc_F;SexSel_Proxy;SexSel_Sex;SexSel_Mode;SexSel_Category;PhyloControlled;BodySizeControlled;N;r;Var_r;SE_r;lCI;uCI;z;SE_z
38;22;Szeman et al. 2021;J Evol Biol;Mammalia;2021;153;Body mass;20.3592814;Group size;Both;both;Density;Yes;No;153;0.3696;0.004904292;0.07003065;0.232339926;0.506860074;0.387959733;0.081649658
39;22;Szeman et al. 2021;J Evol Biol;Mammalia;2021;102;Body mass;20.3592814;Mating system;Both;both;Mating system;Yes;No;102;0.592;0.004177198;0.064631248;0.465322755;0.718677245;0.680739596;0.100503782
44;26;Benitez et al. 2013;Zool Sci;Insecta;2013;8;Body size;75;OSR;Male;both;OSR;No;No;8;0.65;0.04764375;0.218274483;0.222182013;1.077817987;0.775298706;0.447213595
45;27;Berry & Shine 1980;Oecologia;Reptilia;1980;57;Body size;62.295082;Male aggression;Male;pre-copulatory;Premating competition;No;No;57;0.5164;0.009603115;0.097995482;0.324328855;0.708471145;0.571418132;0.136082763
46;28;Blanckenhorn et al. 2020;Oikos;Insecta;2020;15;Body size;66.6666667;Mating probability;Both;pre-copulatory;Other;Yes;No;9;0.68;0.03612672;0.190070303;0.307462207;1.052537793;0.829114038;0.40824829
47;29;Bro-Jorgensen 2007;Evolution;Mammalia;2007;91;Body mass;24.1758242;Group size;Both;both;Density;Yes;No;68;0.321;0.012007992;0.109580983;0.106221274;0.535778726;0.332761588;0.124034735
48;29;Bro-Jorgensen 2007;Evolution;Mammalia;2007;91;Body mass;24.1758242;Male aggression;Male;pre-copulatory;Premating competition;Yes;No;68;0.283;0.012630392;0.112385016;0.062725369;0.503274631;0.290940262;0.124034735
49;30;Camp et al. 2019;Biol J Linn Soc;Amphibia;2019;25;Body size;61.5384615;OSR;Male;both;OSR;Yes;No;20;0.4827;0.030962636;0.175962031;0.13781442;0.82758558;0.526498526;0.242535625
50;31;Cassini 2020;Behav Ecol;Mammalia;2020;23;Body mass;10;I males;Male;both;Other;Yes;No;17;0.6098;0.024660302;0.15703599;0.30200946;0.91759054;0.708602899;0.267261242
51;31;Cassini 2020;Behav Ecol;Mammalia;2020;23;Body mass;10;Group size;Both;both;Density;Yes;No;17;0.1729;0.058819053;0.242526398;-0.302451739;0.648251739;0.174654493;0.267261242
